Job Title,Company,Experience Required,Location,Rating,Salary
Data Analyst,Delhivery,2-5 Yrs,Gurugram,3.9,Not disclosed
Data Analyst,Capgemini,2-5 Yrs,Noida,3.7,Not disclosed
Data Analyst,Capgemini,2-6 Yrs,Noida,3.7,Not disclosed
Data Analyst,Inventia Technology Consultants,0-1 Yrs,Noida(Sector-67 Noida),3.9,2-3.5 Lacs PA
Data Analyst,Rockwell Automation,0-5 Yrs,"New Delhi, Noida, Pune, Bengaluru",3.8,Not disclosed
Data Analyst,,2-7 Yrs,"Delhi / NCR, Pune, Bengaluru",,3.75-5.5 Lacs PA
Data Analyst,IntouchCX,2-3 Yrs,New Delhi,2.9,Not disclosed
Data Analyst,IntouchCX,2-3 Yrs,Delhi / NCR,2.9,Not disclosed
Data Analyst,IntouchCX,2-3 Yrs,Gurugram,2.9,Not disclosed
Data Analyst,IntouchCX,2-3 Yrs,Faridabad,2.9,Not disclosed
Data Analyst,IntouchCX,2-3 Yrs,Ghaziabad,2.9,Not disclosed
Data Analyst,Servicemax,3-5 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.4,Not disclosed
Data Analyst,Kalypso It Solutions,2-4 Yrs,"New Delhi, Noida, Pune, Bengaluru",3.7,Not disclosed
Data Analyst,Probo,2-4 Yrs,Gurugram,4.0,Not disclosed
Data Analyst,,7-10 Yrs,Hybrid - Delhi / NCR,,6-9 Lacs PA
Data Analyst,MSys Technologies,3-6 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.0,Not disclosed
Data Analyst,SAGE,6-10 Yrs,Hybrid - Delhi / NCR,3.7,Not disclosed
Data Analyst,Gemini Solutions,3-5 Yrs,"Mumbai, Gurugram, Bengaluru",3.2,Not disclosed
Data Analyst,Bm2k Global,5-8 Yrs,Noida,4.1,Not disclosed
Data Analyst,Zensar,4-8 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",3.7,Not disclosed
Data Analyst,Peroptyx,0-5 Yrs,Remote,3.0,
Data Analyst,,0-1 Yrs,"Hybrid - Delhi / NCR, Kolkata, Mumbai (All Areas)",,2.25-3 Lacs PA
Data Analyst,Legistify,0-2 Yrs,Gurugram,2.5,Not disclosed
Data Analyst,Orange Business Services,2-6 Yrs,Hybrid - Gurugram,4.3,10-13 Lacs PA
Data Analyst,Legistify,0-1 Yrs,Gurugram,2.5,Not disclosed
Data Analyst,,0-2 Yrs,New Delhi,,Not disclosed
Data Analyst,,0-5 Yrs,New Delhi,,Not disclosed
Data Analyst,,3-7 Yrs,Gurugram,,10-15 Lacs PA
