Job Title,Company,Experience Required,Location,Rating,Salary Disclosure,Min Experience,Max Experience,Min Salary,Max Salary
Data Analyst,Delhivery,2-5 Yrs,New Delhi,3.9,Not Disclosed,2.0,5.0,,
Data Analyst,Capgemini,2-5 Yrs,New Delhi,3.7,Not Disclosed,2.0,5.0,,
Data Analyst,Capgemini,2-6 Yrs,New Delhi,3.7,Not Disclosed,2.0,6.0,,
Data Analyst,Inventia Technology Consultants,0-1 Yrs,New Delhi,3.9,Disclosed,0.0,1.0,2.0,3.5
Data Analyst,Rockwell Automation,0-5 Yrs,"New Delhi, Pune, Bangalore",3.8,Not Disclosed,0.0,5.0,,
Data Analyst,Confidential,2-7 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Disclosed,2.0,7.0,3.75,5.5
Data Analyst,IntouchCX,2-3 Yrs,New Delhi,2.9,Not Disclosed,2.0,3.0,,
Data Analyst,IntouchCX,2-3 Yrs,New Delhi,2.9,Not Disclosed,2.0,3.0,,
Data Analyst,IntouchCX,2-3 Yrs,New Delhi,2.9,Not Disclosed,2.0,3.0,,
Data Analyst,IntouchCX,2-3 Yrs,,2.9,Not Disclosed,2.0,3.0,,
Data Analyst,IntouchCX,2-3 Yrs,,2.9,Not Disclosed,2.0,3.0,,
Data Analyst,Servicemax,3-5 Yrs,"New Delhi, Pune, Bangalore",4.4,Not Disclosed,3.0,5.0,,
Data Analyst,Kalypso It Solutions,2-4 Yrs,"New Delhi, Pune, Bangalore",3.7,Not Disclosed,2.0,4.0,,
Data Analyst,Probo,2-4 Yrs,New Delhi,4.0,Not Disclosed,2.0,4.0,,
Data Analyst,Confidential,7-10 Yrs,New Delhi,Not Rated,Disclosed,7.0,10.0,6.0,9.0
Data Analyst,MSys Technologies,3-6 Yrs,"New Delhi, Pune, Bangalore",4.0,Not Disclosed,3.0,6.0,,
Data Analyst,SAGE,6-10 Yrs,New Delhi,3.7,Not Disclosed,6.0,10.0,,
Data Analyst,Gemini Solutions,3-5 Yrs,"New Delhi, Bangalore",3.2,Not Disclosed,3.0,5.0,,
Data Analyst,Bm2k Global,5-8 Yrs,New Delhi,4.1,Not Disclosed,5.0,8.0,,
Data Analyst,Zensar,4-8 Yrs,"New Delhi, Pune, Bangalore",3.7,Not Disclosed,4.0,8.0,,
Data Analyst,Peroptyx,0-5 Yrs,Remote,3.0,Disclosed,0.0,5.0,,
Data Analyst,Confidential,0-1 Yrs,New Delhi,Not Rated,Disclosed,0.0,1.0,2.25,3.0
Data Analyst,Legistify,0-2 Yrs,New Delhi,2.5,Not Disclosed,0.0,2.0,,
Data Analyst,Orange Business Services,2-6 Yrs,New Delhi,4.3,Disclosed,2.0,6.0,10.0,13.0
Data Analyst,Legistify,0-1 Yrs,New Delhi,2.5,Not Disclosed,0.0,1.0,,
Data Analyst,Confidential,0-2 Yrs,New Delhi,Not Rated,Not Disclosed,0.0,2.0,,
Data Analyst,Confidential,0-5 Yrs,New Delhi,Not Rated,Not Disclosed,0.0,5.0,,
Data Analyst,Confidential,3-7 Yrs,New Delhi,Not Rated,Disclosed,3.0,7.0,10.0,15.0
Data Analyst,Printo Document Services,1-5 Yrs,New Delhi,3.5,Not Disclosed,1.0,5.0,,
Data Analyst,S&P Global Inc.,3-5 Yrs,New Delhi,4.1,Not Disclosed,3.0,5.0,,
Data Analyst,TractorJunction,5-10 Yrs,New Delhi,3.3,Disclosed,5.0,10.0,8.0,15.0
Data Analyst,Groundtruth,2-6 Yrs,Remote,3.4,Not Disclosed,2.0,6.0,,
Data Analyst,Abbyy,2-4 Yrs,"New Delhi, Pune, Bangalore",3.0,Not Disclosed,2.0,4.0,,
Data Analyst,IntouchCX,2-3 Yrs,New Delhi,2.9,Not Disclosed,2.0,3.0,,
Data Analyst,IntouchCX,2-3 Yrs,New Delhi,2.9,Not Disclosed,2.0,3.0,,
Data Analyst,NTT DATA,2-5 Yrs,New Delhi,3.9,Not Disclosed,2.0,5.0,,
Data Analyst,Pristyn Care,3-4 Yrs,New Delhi,3.9,Not Disclosed,3.0,4.0,,
